0,1
1+1 AG  INH O.N.,DE0005545503
11 88 0 SOLUTIONS AG,DE0005118806
3U HOLDING AG,DE0005167902
4SC AG INH. O.N.,DE000A3E5C40
AAREAL BANK AG,DE0005408116
ABOUT YOU HOLDING SE,DE000A3CNK42
ACCENTRO R.EST.AG  O.N.,DE000A0KFKB3
"AD PEPPER MEDIA   EO 0,05",NL0000238145
ADESSO SE  INH O.N.,DE000A0Z23Q5
ADIDAS AG NA O.N.,DE000A1EWWW0
ADLER GROUP S.A. NPV,LU1250154413
ADLER REAL ESTATE AG,DE0005008007
ADTRAN HOLDINGS INC.,US00486H1059
ADVA OPT.NETW.SE  O.N.,DE0005103006
AIRBUS SE,NL0000235190
AIXTRON SE NA O.N.,DE000A0WMPJ6
ALL FOR ONE GROUP NA O.N.,DE0005110001
ALLANE SE  INH O.N.,DE000A0DPRE6
ALLIANZ SE NA O.N.,DE0008404005
Allterco,BG1100003166
ALSTRIA OFFICE REIT-AG,DE000A0LD2U1
ALZCHEM GROUP AG INH O.N.,DE000A2YNT30
AMADEUS FIRE AG,DE0005093108
"AROUNDTOWN EO-,01",LU1673108939
ARTNET AG NA O.N.,DE000A1K0375
ATOSS SOFTWARE AG,DE0005104400
AUMANN AG  INH O.N.,DE000A2DAM03
AURUBIS AG,DE0006766504
AUTO1 GROUP SE  INH O.N.,DE000A2LQ884
BASF SE NA O.N.,DE000BASF111
BASLER AG O.N.,DE0005102008
BASTEI LUEBBE AG  O.N.,DE000A1X3YY0
BAUER AG,DE0005168108
BAY.MOTOREN WERKE  VZO,DE0005190037
BAY.MOTOREN WERKE AG ST,DE0005190003
BAYER AG NA O.N.,DE000BAY0017
BAYWA AG   NA O.N.,DE0005194005
BAYWA AG VINK.NA. O.N.,DE0005194062
"BB BIOTECH NAM.   SF 0,20",CH0038389992
BECHTLE AG O.N.,DE0005158703
BEFESA S.A. ORD. O.N.,LU1704650164
BEIERSDORF AG O.N.,DE0005200000
BERTRANDT AG O.N.,DE0005232805
BET-AT-HOME.COM AG O.N.,DE000A0DNAY5
BIKE24 HLDG O.N.,DE000A3CQ7F4
BILFINGER SE O.N.,DE0005909006
BIOFRONTERA AG NA O.N.,DE0006046113
BIOTEST AG ST O.N.,DE0005227201
BIOTEST AG VZ O.N.,DE0005227235
BORUSSIA DORTMUND,DE0005493092
BRAIN BIOTEC  NA O.N.,DE0005203947
BRENNTAG SE NA O.N.,DE000A1DAHH0
BROCKHAUS TECHN. NA O.N.,DE000A2GSU42
CANCOM SE O.N.,DE0005419105
CARL ZEISS MEDITEC AG,DE0005313704
CECONOMY AG  ST O.N.,DE0007257503
CENIT AG O.N.,DE0005407100
CEWE STIFT.KGAA  O.N.,DE0005403901
CHERRY AG  O.N.,DE000A3CRRN9
COM.CHARG.SOL.AG INH.O.N.,DE000A2QDNX9
COMMERZBANK AG,DE000CBK1001
COMPUGROUP MED. NA O.N.,DE000A288904
CONTINENTAL AG O.N.,DE0005439004
"CORESTATE CAPITAL EO-,075",LU1296758029
COVESTRO AG  O.N.,DE0006062144
CREDITSHELF AG  IA O.N.,DE000A2LQUA5
CROPENERGIES AG,DE000A0LAUP1
CTS EVENTIM KGAA,DE0005470306
DAIMLER TRUCK HLDG NA ON,DE000DTR0CK8
DATA MODUL AG O.N.,DE0005498901
DELIVERY HERO SE NA O.N.,DE000A2E4K43
DELTICOM AG  NA O.N.,DE0005146807
DEMIRE DT.MTS.RE AG,DE000A0XFSF0
DERMAPHARM HLDG INH O.N.,DE000A2GS5D8
DEUTSCHE BANK AG NA O.N.,DE0005140008
DEUTSCHE BOERSE NA O.N.,DE0005810055
DEUTSCHE EUROSHOP NA O.N.,DE0007480204
DEUTSCHE POST AG NA O.N.,DE0005552004
DEUTZ AG O.N.,DE0006305006
DFV DT.FAMIL.VERS. O.N.,DE000A2NBVD5
DIC ASSET AG NA O.N.,DE000A1X3XX4
"DIEBOLD NIXDORF DL 1,25",US2536511031
DMG MORI AG O.N.,DE0005878003
DR. HOENLE AG O.N.,DE0005157101
DRAEGERWERK ST.A.O.N.,DE0005550602
DRAEGERWERK VZO O.N.,DE0005550636
DT.BETEILIG.AG   NA O.N.,DE000A1TNUT7
DT.KONSUM REIT-AG,DE000A14KRD3
DT.PFANDBRIEFBK AG,DE0008019001
DT.TELEKOM AG NA,DE0005557508
DUERR AG O.N.,DE0005565204
DWS GROUP GMBH+CO.KGAA ON,DE000DWS1007
E.ON SE NA O.N.,DE000ENAG999
ECKERT+ZIEGLER AG O.N.,DE0005659700
ECOTEL COMMUNICATION AG,DE0005854343
"EDAG ENGINEERING G.SF-,04",CH0303692047
EINHELL GERMANY VZO O.N.,DE0005654933
ELMOS SEMICOND. INH O.N.,DE0005677108
ELRINGKLINGER AG NA O.N.,DE0007856023
ELUMEO SE,DE000A11Q059
ENCAVIS AG  INH. O.N.,DE0006095003
EPIGENOMICS AG NA O.N.,DE000A3H2184
EVONIK INDUSTRIES NA O.N.,DE000EVNK013
EVOTEC SE  INH O.N.,DE0005664809
EXCEET GROUP SCA RED. A,LU0472835155
FABASOFT AG,AT0000785407
FIELMANN AG O.N.,DE0005772206
FIRST SENSOR AG O.N.,DE0007201907
FLATEXDEGIRO AG NA O.N.,DE000FTG1111
FORTEC ELEKTRO. O.N.,DE0005774103
FR.VORWERK GRP SE INH ON,DE000A255F11
FRANCOTYP-POSTALIA HLDG,DE000FPH9000
FRAPORT AG FFM.AIRPORT,DE0005773303
FREENET AG NA O.N.,DE000A0Z2ZZ5
FRESEN.MED.CARE KGAA O.N.,DE0005785802
FRESENIUS SE+CO.KGAA O.N.,DE0005785604
FUCHS PETROLUB NA ST O.N.,DE000A3E5D56
FUCHS PETROLUB VZO NA ON,DE000A3E5D64
GATEWAY R.EST.AG O.N.,DE000A0JJTG7
GEA GROUP AG,DE0006602006
GERRESHEIMER AG,DE000A0LD6E6
GESCO AG NA O.N.,DE000A1K0201
GFT TECHNOLOGIES SE,DE0005800601
GIGASET AG O.N.,DE0005156004
GK SOFTWARE  INH O.N.,DE0007571424
"GLOBAL FASHION GRP EO-,01",LU2010095458
GRAMMER AG O.N.,DE0005895403
"GRAND CITY PROPERT.EO-,10",LU0775917882
GRENKE AG NA O.N.,DE000A161N30
H+R KGAA  INH. O.N.,DE000A2E4T77
HAIER SMART HOME CO.D YC1,CNE1000031C1
HAMBORNER REIT AG NA O.N.,DE000A3H2333
HAMBURG.HAFEN LOG.A-SP NA,DE000A0S8488
HANNOVER RUECK SE NA O.N.,DE0008402215
HAPAG-LLOYD AG NA O.N.,DE000HLAG475
HAWESKO HOLDING  INH O.N.,DE0006042708
HEIDELBERG PHARMA AG O.N.,DE000A11QVV0
HEIDELBERG.DRUCKMA.O.N.,DE0007314007
HEIDELBERGCEMENT AG O.N.,DE0006047004
HELLA GMBH+CO. KGAA O.N.,DE000A13SX22
HELLOFRESH SE  INH O.N.,DE000A161408
HENKEL AG+CO.KGAA ST O.N.,DE0006048408
HENKEL AG+CO.KGAA VZO,DE0006048432
HENSOLDT AG INH O.N.,DE000HAG0005
HGEARS AG  INH O.N.,DE000A3CMGN3
HIGHLIGHT CMNCTS INH.SF 1,CH0006539198
HOCHTIEF AG,DE0006070006
HOME24 SE  INH O.N.,DE000A14KEB5
HOMETOGO SE          EO 1,LU2290523658
HORNBACH HOLD.ST O.N.,DE0006083405
HUGO BOSS AG NA O.N.,DE000A1PHFF7
HYPOPORT SE  NA O.N.,DE0005493365
INDUS HOLDING AG,DE0006200108
INFINEON TECH.AG NA O.N.,DE0006231004
INIT INNOVATION O.N.,DE0005759807
INSTONE REAL EST.GRP O.N.,DE000A2NBX80
INTERSHOP COMM.  INH O.N.,DE000A254211
INTICA SYSTEMS AG,DE0005874846
INVISION AG,DE0005859698
IVU TRAFFIC TECHN.AG O.N.,DE0007448508
JENOPTIK AG  NA O.N.,DE000A2NB601
JOST WERKE AG INH.   O.N.,DE000JST4000
JUNGHEINRICH AG O.N.VZO,DE0006219934
K+S AG NA O.N.,DE000KSAG888
KAP AG  INH O.N.,DE0006208408
KATEK SE  INH O.N.,DE000A2TSQH7
KION GROUP AG,DE000KGX8881
